kode_entitas;nama_entitas;sektor;subsektor;industri;subindustri;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;Jumlah_laba_rugi_sebelum_pajak_penghasilan;Jumlah_laba_rugi_dari_operasi_yang_dilanjutkan;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal;Jumlah_kenaikan_penurunan_bersih_kas_dan_setara_kas;Kas_dan_setara_kas_arus_kas_akhir_periode
AALI;Astra Agro Lestari Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;9414208.0;20985698.0;30399906.0;5960396.0;3268337.0;9228733.0;962344.0;0;3878995.0;20619192.0;21171173.0;30399906.0;4830014.0;2913169.0;2067362.0;2067362.0;2454074.0;2357494.0;1971365.0;95997.0;2817029.0;3896022.0
ABBA;Mahaka Media Tbk;E. Consumer Cyclicals;E6. Media & Entertainment;E61. Media;E614. Consumer Publishing;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;52578843689.0;472054055999.0;524632899688.0;145859034017.0;213903420681.0;359762454698.0;275512500000.0;0;-102055357037.0;273181406450.0;164870444990.0;524632899688.0;77326783295.0;-33630511703.0;-35893953013.0;-35893953013.0;269389663148.0;28.377.374.566.472.800;-2.227.746.105.092.960;-1.361.649.196.207.030;-8002134212.0;18722391189.0
ABDA;Asuransi Bina Dana Arta Tbk;G. Financials;G4. Insurance;G41. Insurance;G412. General Insurance;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;0;0;2495890568.0;0;0;983787506.0;193316724.0;;8109426.0;1512039226.0;1512103062.0;0;0;174699981.0;157351069.0;157351069.0;166461108.0;166473168.0;157363230.0;-12161.0;-266930755.0;385152941.0
ABMM;ABM Investama Tbk;C. Industrials;C3. Multi-sector Holdings;C31. Multi-sector Holdings;C311. Multi-sector Holdings;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;495193191.0;541510968.0;1036704159.0;299692977.0;380122065.0;679815042.0;146554908.0;0;123417237.0;345686255.0;356889117.0;1036704159.0;366356778.0;247791114.0;186183903.0;186183903.0;190560693.0;152418581.0;148003867.0;38180036.0;128496912.0;237220441.0
ACES;Ace Hardware Indonesia Tbk;E. Consumer Cyclicals;E7. Retailing;E74. Specialty Retail;E743. Home Improvement Retail;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;5192108153404.0;1979030316810.0;7171138470214.0;722537447543.0;869620745117.0;1592158192660.0;171500000000.0;0;440574864042.0;5546562212391.0;5578980277554.0;7171138470214.0;3212648831788.0;844868009667.0;704808586631.0;704808586631.0;785802954411.0;770275837889.0;690770530338.0;14038056293.0;324203010601.0;2543833653523.0
ACST;PT Acset Indonusa Tbk.;J. Infrastructures;J2. Heavy Constructions & Civil Engineering;J21. Heavy Constructions & Civil Engineering;J211. Heavy Constructions & Civil Engineering;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Jutaan / In Million;0;0;2478713.0;0;0;1362982.0;1267516.0;;2605625.0;1084786.0;1115731.0;2478713.0;0;-698951.0;-693366.0;-693366.0;-686698.0;-689271.0;-695549.0;2183.00.00;398224.0;471657.0
ADCP;PT Adhi Commuter Properti Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;3635321504731.0;2343352433406.0;5978673938137.0;3519129820480.0;359348671153.0;3878478491633.0;2000000000000.0;0;00.00;2100186779370.0;2100195446504.0;5978673938137.0;146807614860.0;130363628274.0;130360626634.0;130360626634.0;130360626634.0;130360577564.0;130360577564.0;49070.0;15831560381.0;60530437116.0
ADES;Akasha Wira International Tbk  Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D21. Beverages;D212. Soft Drinks;Foreign Corporation;Foreign Company;31/12/22;Rupiah / IDR;;Jutaan / In Million;673394.0;630714.0;1304108.0;268367.0;65924.0;334291.0;589897.0;;5068.00.00;969817.0;969817.0;1304108.0;499568.0;337828.0;265758.0;265758.0;269309.0;269309.0;265758.0;0;41551.0;380237.0
ADHI;PT Adhi Karya (Persero) Tbk.;J. Infrastructures;J2. Heavy Constructions & Civil Engineering;J21. Heavy Constructions & Civil Engineering;J211. Heavy Constructions & Civil Engineering;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;31600942926217.0;8299394908402.0;39900337834619.0;31127451942313.0;3115178689881.0;34242630632194.0;356084937600.0;0;2588833884853.0;5599819002035.0;5657707202425.0;39900337834619.0;1756425932938.0;443079521850.0;86499800385.0;86499800385.0;82866755067.0;51552139155.0;55185184473.0;31314615912.0;788629684697.0;3152278749730.0
ADMF;Adira Dinamika Multi Finance Tbk;G. Financials;G2. Financing Service;G21. Consumer Financing;G211. Consumer Financing;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;0;0;23709140.0;0;0;14762768.0;100000.0;0;6750.00.00;8946372.0;8946372.0;23709140.0;0;1601894.0;1213316.0;1213316.0;1448935.0;1448935.0;1213316.0;0;-2589859.0;1637550.0
