kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
STTP;PT Siantar Top Tbk;5. Consumer Goods Industry;51. Food And Beverages;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;1250806822918.0;1380382987112.0;2631189810030.0;676673564908.0;308128298170.0;984801863078.0;131000000000.0;None;1347146100.0;1630565397523.0;1646387946952.0;2631189810030.0;619688397329.0;255088886019.0;258245878592.0;258352834455.0;255195841882.0;-106955863.0
HRUM;Harum Energy Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;310761349.0;157227846.0;467989195.0;68153325.0;11349079.0;79502404.0;28877151.0;None;112772500.0;302040405.0;388486791.0;467989195.0;101479367.0;40205422.0;41715064.0;33235057.0;31809219.0;8396203.0
INRU;Toba Pulp Lestari Tbk;3. Basic Industry And Chemicals;38. Pulp & Paper;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Ribuan / In Thousand;92464.0;318761.0;411225.0;51046.0;190004.0;241050.0;336085.0;None;354994.0;170175.0;170175.0;411225.0;16626.0;3936.00.00;4878.00.00;4878.00.00;3936.00.00;None
ISAT;PT Indosat Tbk;7. Infrastructure, Utilities And Transportation;73. Telecommunication;Foreign Corporation;Foreign Company;31/12/18;Rupiah / IDR;None;Jutaan / In Million;7906525.0;45233062.0;53139587.0;21040365.0;19962975.0;41003340.0;543393.0;None;1546587.0;11174104.0;12136247.0;53139587.0;None;-2085059.0;-1861134.0;-2181969.0;-2403843.0;318784.0
POLL;PT Pollux Properti Indonesia Tbk.;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;1232563861527.0;3691662830722.0;4924226692249.0;1528199678043.0;1273715777137.0;2801915455180.0;831882360000.0;00.00;638721897063.0;1737231094707.0;2122311237069.0;4924226692249.0;370506725090.0;229070756723.0;230386788150.0;96850888182.0;96221681995.0;132849074728.0
KARW;ICTSI JASA PRIMA Tbk;7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;6246256.0;18690168.0;24936424.0;58322284.0;34683.0;58356967.0;32299115.0;None;605107.0;-33423031.0;-33420543.0;24936424.0;2321626.0;727248.0;719674.0;719546.0;727120.0;128.00.00
SMFP;Sarana Multigriya Finansial (Persero);8. Finance;82. Financial Institution;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;01.00;Jutaan / In Million;None;None;19491557.0;None;None;11305635.0;6000000.0;None;None;8185922.0;8185922.0;19491557.0;None;436543.0;398067.0;398067.0;436543.0;None
MBTO;Martina Berto Tbk;5. Consumer Goods Industry;54. Cosmetics And Household;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;14481.0;Satuan Penuh / Full Amount;392357840917.0;255659039408.0;648016880325.0;240203560883.0;107313562569.0;347517123452.0;107000000000.0;None;214500000000.0;300498990554.0;300499756873.0;648016880325.0;213709063631.0;-114131026847.0;-112242865670.0;-112242874722.0;-114131038530.0;11683.0
SKYB;Skybee Tbk;9. Trade, Services & Investment;93. Retail Trade;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;1179772615.0;30083308455.0;31263081070.0;715983289.0;310537684.0;1026520973.0;58500000000.0;None;62688984736.0;55039274699.0;30236560097.0;31263081070.0;21277253.0;-2074039946.0;-2074039946.0;-2053627946.0;-2053627946.0;-20412000.0
BTPS;PT Bank Tabungan Pensiunan Nasional Syariah Tbk.;8. Finance;81. Bank;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;12039275.0;None;None;2049483.0;770370.0;None;846440.0;3996932.0;3996932.0;None;None;965311.0;1003747.0;1003747.0;965311.0;None
TOBA;Toba Bara Sejahtra Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;141942144.0;359941050.0;501883194.0;115958768.0;170300554.0;286259322.0;44077885.0;None;130131454.0;183150415.0;215623872.0;501883194.0;124095542.0;68089796.0;66475442.0;37444150.0;37785670.0;30304126.0
MEDP;PT Medco Power Indonesia;7. Infrastructure, Utilities And Transportation;71. Energy;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;3788113609229.0;11413011273712.0;15201124882941.0;2436913490674.0;8062235649537.0;10499149140211.0;1100000000000.0;None;457439607864.0;2784712497986.0;4701975742730.0;15201124882941.0;1516669567324.0;449721841896.0;753661952046.0;367941394638.0;208270855572.0;241450986324.0
MASA;Multistrada Arah Sarana Tbk;4. Miscellaneous Industry;42. Automotive And Components;No Controlling Shareholder;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;231260203.0;412101308.0;643361511.0;218121004.0;107343548.0;325464552.0;137342902.0;None;140116051.0;307563873.0;317896959.0;643361511.0;28424150.0;-17908495.0;-20309722.0;-19981094.0;-17902635.0;-5860.0
HOKI;PT Buyung Poetra Sembada Tbk.;5. Consumer Goods Industry;51. Food And Beverages;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;490747589782.0;268098966249.0;758846556031.0;183224424681.0;12454553111.0;195678977792.0;237483462000.0;None;146665344188.0;563166837119.0;563167578239.0;758846556031.0;202397742620.0;90195136265.0;92570914640.0;92572173520.0;90196395145.0;-1258880.0
SMCB;Holcim Indonesia Tbk;3. Basic Industry And Chemicals;31. Cement;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;2597672.0;16069515.0;18667187.0;9739775.0;2511062.0;12250837.0;3831450.0;None;2587309.0;6416350.0;6416350.0;18667187.0;1643338.0;-827985.0;-780601.0;-780601.0;-827985.0;None
BALI;PT Bali Towerindo Sentra Tbk.;7. Infrastructure, Utilities And Transportation;75. Non Building Construction;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;299165402551.0;3138487938710.0;3437653341261.0;516318541594.0;1227465633677.0;1743784175271.0;73307534000.0;None;64976255328.0;1693916886987.0;1693869165990.0;3437653341261.0;271924274783.0;50353175264.0;553640634913.0;553640042528.0;50352596405.0;578859.0
APAI;PT ANGKASA PURA I (PERSERO);7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;5115606412.0;26493309209.0;31608915621.0;7614989550.0;8941701402.0;16556690952.0;6414412000.0;None;22963207.0;15047361233.0;15052224669.0;31608915621.0;8521087310.0;2005918159.0;1934814131.0;1935914287.0;2007018315.0;-1100156.0
PALM;Provident Agro Tbk;1. Agriculture;12. Plantation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;154440107.0;1838104307.0;1992544414.0;102794199.0;277003135.0;379797334.0;106793105.0;None;531154469.0;1612029347.0;1612747080.0;1992544414.0;114126314.0;-111498768.0;-115284499.0;-115200149.0;-111414418.0;-84350.0
