kode_entitas;nama_entitas;sektor;subsektor;industri;subindustri;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;Jumlah_laba_rugi_sebelum_pajak_penghasilan;Jumlah_laba_rugi_dari_operasi_yang_dilanjutkan;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal;Jumlah_kenaikan_penurunan_bersih_kas_dan_setara_kas;Kas_dan_setara_kas_arus_kas_akhir_periode
AALI;Astra Agro Lestari Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;7390608.0;21858732.0;29249340.0;2052939.0;4953180.0;7006119.0;962344.0;0;3878995.0;21684037.0;22243221.0;29249340.0;3822117.0;2429178.0;1792050.0;1792050.0;1985920.0;1919407.0;1726607.0;65443.0;-2312972.0;1619616.0
ABBA;Mahaka Media Tbk;E. Consumer Cyclicals;E6. Media & Entertainment;E61. Media;E614. Consumer Publishing;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;185904486754.0;202980046636.0;388884533390.0;172705554621.0;186760636669.0;359466191290.0;393589285700.0;0;-46480424927.0;145686065110.0;29418342100.0;388884533390.0;71870077315.0;-27433033177.0;-30967342638.0;-30967342638.0;-312703820700.0;-301147059150.0;-22020087187.0;-8947255451.0;5.572.647.524.896.750;7.444.886.643.796.750
ABDA;Asuransi Bina Dana Arta Tbk;G. Financials;G4. Insurance;G41. Insurance;G412. General Insurance;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;0;0;2472105925.0;0;0;966617848.0;193316724.0;;8109426.0;1505430266.0;1505488077.0;0;0;105991095.0;91138279.0;91138279.0;43985012.0;43991037.0;91144434.0;-6155.0;60397498.0;445550439.0
ABMM;ABM Investama Tbk;C. Industrials;C3. Multi-sector Holdings;C31. Multi-sector Holdings;C311. Multi-sector Holdings;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;706664493.0;1275914071.0;1982578564.0;616933951.0;748123338.0;1365057289.0;146554908.0;0;123417237.0;550362756.0;617521275.0;1982578564.0;521904271.0;434934202.0;341903507.0;341903507.0;327136782.0;255181125.0;269909926.0;71993581.0;-8049100.0;221566137.0
ACES;Ace Hardware Indonesia Tbk;E. Consumer Cyclicals;E7. Retailing;E74. Specialty Retail;E743. Home Improvement Retail;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;5362930145158.0;1886324466891.0;7249254612049.0;669768766924.0;645497214514.0;1315265981438.0;171500000000.0;0;440574864042.0;5889852361714.0;5933988630611.0;7249254612049.0;3267952778368.0;820831199512.0;673646864480.0;673646864480.0;705517176980.0;695798973246.0;664342863394.0;9304001086.0;-422965396626.0;2133399081620.0
ACST;PT Acset Indonusa Tbk.;J. Infrastructures;J2. Heavy Constructions & Civil Engineering;J21. Heavy Constructions & Civil Engineering;J211. Heavy Constructions & Civil Engineering;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Jutaan / In Million;0;0;2111024.0;0;0;1440027.0;1267516.0;;2605625.0;642759.0;670997.0;2111024.0;0;-456013.0;-451613.0;-451613.0;-444734.0;-442027.0;-448905.0;-2708.0;-272751.0;205806.0
ADCP;PT Adhi Commuter Properti Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;3437620593864.0;2883403887014.0;6321024480878.0;3579040895194.0;283986140506.0;3863027035700.0;2222222220000.0;0;56632698985.0;2457988759100.0;2457997445178.0;6321024480878.0;153228955379.0;105019861668.0;105019195202.0;105019195202.0;105019195202.0;105019176258.0;105019176258.0;18944.0;-33660644810.0;26869792306.0
ADES;Akasha Wira International Tbk  Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D21. Beverages;D212. Soft Drinks;Foreign Corporation;Foreign Company;31/12/22;Rupiah / IDR;;Jutaan / In Million;815319.0;830263.0;1645582.0;254719.0;56027.0;310746.0;589897.0;;5068.00.00;1334836.0;1334836.0;1645582.0;670752.0;464308.0;364972.0;364972.0;365019.0;365019.0;364972.0;0;-4398.0;377722.0
ADHI;PT Adhi Karya (Persero) Tbk.;J. Infrastructures;J2. Heavy Constructions & Civil Engineering;J21. Heavy Constructions & Civil Engineering;J211. Heavy Constructions & Civil Engineering;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;29593503866970.0;10392913349684.0;39986417216654.0;24618080064517.0;6544545688621.0;31162625753138.0;840760897900.0;0;4755656134234.0;8392939556704.0;8823791463516.0;39986417216654.0;1796288082883.0;551364781904.0;175209867105.0;175209867105.0;167379132426.0;73411442811.0;81242177490.0;93967689615.0;1184622282502.0;4336901032232.0
ADMF;Adira Dinamika Multi Finance Tbk;G. Financials;G2. Financing Service;G21. Consumer Financing;G211. Consumer Financing;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;0;0;24897205.0;0;0;14864819.0;100000.0;0;6750.00.00;10032386.0;10032386.0;24897205.0;0;2039724.0;1605555.0;1605555.0;1693014.0;1693014.0;1605555.0;0;-351188.0;1286362.0
